Opetuksen järjestäjä,"Hinta, €/päivä"
Akaan kaupunki,2.56
Alajärven kaupunki,3.36
Alavieskan kunta,3.35
Alavuden kaupunki,2.98
Asikkalan kunta,2.83
Askolan kunta,2.96
Auran kunta,3.89
Enonkosken kunta,6.25
Enontekiön kunta,6.19
Espoon kaupunki,2.28
Eurajoen kunta,3.62
Euran kunta,3.84
Evijärven kunta,3.16
Forssan kaupunki,2.93
Haapajärven kaupunki,3.4
Haapaveden kaupunki,2.65
Hailuodon kunta,4.4
Halsuan kunta,5.33
Haminan kaupunki,3.66
Hangon kaupunki,3.28
Hankasalmen kunta,3.46
Harjavallan kaupunki,3.67
Hartolan kunta,4.4
Hattulan kunta,3.63
Hausjärven kunta,2.37
Heinolan kaupunki,3.32
Heinäveden kunta,3.29
Helsingin kaupunki,2
Hirvensalmen kunta,4.22
Hollolan kunta,3
Honkajoen kunta,3.15
Huittisten kaupunki,3.17
Humppilan kunta,3.56
Hyrynsalmen kunta,4.03
Hyvinkään kaupunki,2.25
Hämeenkosken kunta,4.68
Hämeenkyrön kunta,2.87
Hämeenlinnan kaupunki,2.66
Iin kunta,2.66
Iisalmen kaupunki,2.37
Iitin kunta,3.2
Ikaalisten kaupunki,4.4
Ilmajoen kunta,3.25
Ilomantsin kunta,4.75
Imatran kaupunki,2.6
Inarin kunta,5.97
Ingå kommun,2.83
Isojoen kunta,3.81
Isonkyrön kunta,3.91
Jakobstads stad,2.97
Jalasjärven kunta,3.28
Janakkalan kunta,2.73
Joensuun kaupunki,2.87
Jokioisten kunta,2.99
Joroisten kunta,2.82
Joutsan kunta,3.11
Juankosken kaupunki,4.38
Juuan kunta,2.58
Juupajoen kunta,3.4
Juvan kunta,4.39
Jyväskylän kaupunki,1.79
Jämijärven kunta,4.44
Jämsän kaupunki,3.58
Järvenpään kaupunki,2.2
Kaarinan kaupunki,3.27
Kaavin kunta,5.41
Kajaanin kaupunki,2.84
Kalajoen kaupunki,2.64
Kangasalan kunta,3.33
Kangasniemen kunta,3.26
Kankaanpään kaupunki,2.68
Kannonkosken kunta,4.18
Kannuksen kaupunki,2.33
Karijoen kunta,8.03
Karkkilan kaupunki,2.95
